ID_GEST_DEFA_STOC|ID_GEST_TIP_STOC|ID_GEST_TIP_DOCUM|PREDATOR|ID_GEST_TIP_MATERIAL|SEMN|SEMN_ITEMS|TIPURI_PRODUSE
315|12|NULL|1|-1|-1|-1|M, P, F, O
316|12|NULL|1|-1|1|1|M, P, F, O
317|13|NULL|1|-1|1|1|M, P, F, O
318|13|NULL|1|-1|1|1|M, P, F, O
319|13|NULL|2|-1|-1|1|M, P, F, O
320|14|NULL|1|-1|-1|-1|M, P, F, O
321|14|NULL|1|-1|1|1|M, P, F, O
322|15|NULL|1|-1|1|1|M, P, F, O
323|15|NULL|1|-1|1|1|M, P, F, O
324|17|NULL|2|-1|-1|-1|M, P, F, O
325|17|NULL|2|-1|-1|-1|M, P, F, O
326|17|NULL|2|-1|1|1|M, P, F, O
327|17|NULL|2|-1|-1|-1|M, P, F, O
328|17|NULL|2|-1|1|1|M, P, F, O
329|17|NULL|1|-1|-1|-1|M, P, F, O
330|17|NULL|1|-1|-1|1|M, P, F, O
331|17|NULL|2|-1|1|-1|M, P, F, O
332|17|NULL|2|-1|1|1|M, P, F, O
333|17|NULL|1|-1|-1|-1|M, P, F, O
334|17|NULL|1|-1|1|1|M, P, F, O
335|17|NULL|1|-1|-1|1|M, P, F, O
336|17|NULL|1|-1|-1|1|M, P, F, O
337|17|NULL|2|-1|1|1|M, P, F, O
338|17|NULL|1|-1|1|-1|M, P, F, O
339|17|NULL|1|-1|1|-1|M, P, F, O
340|17|NULL|1|-1|-1|1|M, P, F, O
341|18|NULL|2|-1|-1|-1|M, P, F, O
342|18|NULL|2|-1|1|1|M, P, F, O
343|18|NULL|2|-1|1|1|M, P, F, O
344|18|NULL|1|-1|-1|-1|M, P, F, O
345|18|NULL|2|-1|1|1|M, P, F, O
346|18|NULL|1|-1|1|1|M, P, F, O
347|18|NULL|1|-1|-1|-1|M, P, F, O
348|19|NULL|2|-1|1|-1|M, P, F, O
349|19|NULL|2|-1|1|-1|M, P, F, O
350|19|NULL|1|-1|1|1|M, P, F, O
351|19|NULL|2|-1|1|-1|M, P, F, O
352|19|NULL|1|-1|1|-1|M, P, F, O
353|20|NULL|2|-1|1|-1|M, P, F, O
354|20|NULL|2|-1|1|-1|M, P, F, O
355|20|NULL|1|-1|1|1|M, P, F, O
356|20|NULL|2|-1|1|-1|M, P, F, O
357|20|NULL|1|-1|1|-1|M, P, F, O
358|20|NULL|1|-1|1|1|M, P, F, O
359|20|NULL|2|-1|-1|1|M, P, F, O
360|21|NULL|1|-1|1|1|M, P, F, O
361|21|NULL|1|-1|1|1|M, P, F, O
362|21|NULL|2|-1|-1|1|M, P, F, O
